Provider Name,Provider Guid,EventID,Level,Task,Opcode,Keywords,TimeCreated SystemTime,EventRecordID,Correlation ActivityID,Execution ProcessID,Execution ThreadID,Channel,Computer,Security UserID,param1,param2
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:22:00.455467,2296,{5c725f44-5ff4-0002-2fde-855cf45fd701},16088,5084,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,16088,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:22:26.230030,2299,{5c725f44-5ff4-0003-a2fe-7c5cf45fd701},4856,3388,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,4856,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:23:07.639885,2302,{5c725f44-5ff4-0002-d5e3-855cf45fd701},10512,2308,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,10512,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:23:33.355621,2305,{5c725f44-5ff4-0003-2202-7d5cf45fd701},15816,1892,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,15816,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:24:30.331907,2308,{5c725f44-5ff4-0003-7704-7d5cf45fd701},12588,18504,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,12588,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:25:55.271975,2311,{5c725f44-5ff4-0003-f407-7d5cf45fd701},4864,18568,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,4864,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:27:32.308107,2314,{5c725f44-5ff4-0003-040b-7d5cf45fd701},15380,18560,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,15380,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:27:55.430069,2317,{5c725f44-5ff4-0000-c630-865cf45fd701},15868,19444,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,15868,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:30:37.243727,2320,{5c725f44-5ff4-0003-440e-7d5cf45fd701},10448,8692,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,10448,DefaultAppDomain
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},53504,4,111,10,0x0000000000000000,2021-06-15 09:48:24.054939,2323,{5c725f44-5ff4-0003-3b18-7d5cf45fd701},6028,6476,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,6028,DefaultAppDomain
