Provider Name,Provider Guid,Provider EventSourceName,EventID Qualifiers,EventID,Level,Task,Opcode,Keywords,TimeCreated SystemTime,EventRecordID,Execution ProcessID,Execution ThreadID,Channel,Computer,Security UserID,ServiceName,ImagePath,ServiceType,StartType,AccountName
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:54:05.213203,2329,14960,18376,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:56:28.760185,2332,15804,7556,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:56:36.078989,2335,9156,4472,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 09:57:42.502661,2338,1048,11200,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 10:10:30.645498,2343,13604,17100,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 10:10:49.506441,2346,2452,7116,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 13:24:51.155514,2349,17804,10512,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 20:24:38.890303,2352,15472,15576,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-15 20:24:44.127295,2355,15624,15740,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-16 09:43:36.679214,2484,8736,14068,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-16 09:44:40.888138,2487,10612,14628,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-16 10:25:48.484308,2493,7012,14932,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-12 12:20:50.927988,1984,15488,6916,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-12 12:27:28.507219,1987,6276,3052,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-12 12:42:43.775311,1989,15056,16716,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-21-2272772416-3862118069-305090489-1001,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-13 01:01:40.964169,1991,11828,7588,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-13 01:01:42.059448,1994,11636,12656,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-13 01:37:56.679165,2116,11988,12220,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,53504,4,111,10,0x0000000000000000,2021-06-13 01:38:06.843683,2119,9072,8988,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:42.909645,2202,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:42.909685,2203,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:42.909719,2204,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:42.909729,2205,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:42.941666,2206,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.009018,2207,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.110641,2208,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.110674,2209,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.111025,2210,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.111053,2211,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.111122,2212,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.111189,2213,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.111223,2214,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.111298,2215,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.111324,2216,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.111362,2217,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.158901,2218,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.158941,2219,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.204201,2220,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.236788,2221,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.344252,2222,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.344324,2223,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.344397,2224,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.344448,2225,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.344723,2226,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.344784,2227,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
Microsoft-Windows-PowerShell,{a0c1853b-5c40-4b15-8766-3cf1c58f985a},,,4104,3,2,15,0x0000000000000000,2021-06-13 01:38:43.344847,2228,9072,14408,Microsoft-Windows-PowerShell/Operational,LAPTOP-80LNI1KD,S-1-5-18,,,,,
